Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,19974.72599999999,239696.71,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),NAT,VPN Connection,0,0,0.00,USD,Working days per month (22)
My Estimate,US East (N. Virginia),NAT,Network Address Translation (NAT) Gateway,0,987.3,11847.60,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),CloudFront,Amazon CloudFront,0,1739.6,20875.20,USD,"Data transfer out to internet (16 TB per month), Data transfer out to origin (16 TB per month), Number of requests (HTTPS) (50000000 per month)"
My Estimate,US East (N. Virginia),s3,S3 Standard,0,211.07,2532.84,USD,S3 Standard storage (8 TB per month)
My Estimate,US East (N. Virginia),s3,Data Transfer,0,0,0.00,USD,
My Estimate,US East (N. Virginia),ALBs,Application Load Balancer,0,500.05,6000.60,USD,Number of Application Load Balancers (2)
My Estimate,Asia Pacific (Hong Kong),NAT,VPN Connection,0,0,0.00,USD,Working days per month (22)
My Estimate,Asia Pacific (Hong Kong),NAT,Network Address Translation (NAT) Gateway,0,1426.1,17113.20,USD,Number of NAT Gateways (2)
My Estimate,Asia Pacific (Hong Kong),CloudFront,Amazon CloudFront,0,3746.3999999999996,44956.80,USD,"Data transfer out to internet (8 TB per month), Data transfer out to origin (8 TB per month), Number of requests (HTTPS) ( per month), Data transfer out to internet (16 TB per month), Data transfer out to origin (16 TB per month), Number of requests (HTTPS) (50000000 per month)"
My Estimate,Asia Pacific (Hong Kong),s3,S3 Standard,0,211.07,2532.84,USD,S3 Standard storage (8 TB per month)
My Estimate,Asia Pacific (Hong Kong),s3,Data Transfer,0,0,0.00,USD,
My Estimate,US East (N. Virginia),Web Servers,Amazon EC2 ,0,1313.18,15758.16,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (m5a.4xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), EBS DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (2 TB per month), Enable monitoring (disabled)"
My Estimate,US East (N. Virginia),DB Servers,Amazon EC2 ,0,2353.62,28243.44,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (r5d.4xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), EBS DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (2 TB per month), Enable monitoring (disabled)"
My Estimate,US East (N. Virginia),App Servers,Amazon EC2 ,0,2317.66,27811.92,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (m5a.8xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), EBS DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (2 TB per month), Enable monitoring (disabled)"
My Estimate,Asia Pacific (Hong Kong),DB Servers,Amazon EC2 ,0,3854.34,46252.08,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (m5.8xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), EBS DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (2 TB per month), Enable monitoring (disabled)"
My Estimate,Asia Pacific (Hong Kong),Web Servers,Amazon EC2 ,0,379.988,4559.86,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (t4g.nano), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), EBS DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (2 TB per month), Enable monitoring (disabled)"
My Estimate,Asia Pacific (Hong Kong),App Servers,Amazon EC2 ,0,379.988,4559.86,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (t4g.nano), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), EBS DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (2 TB per month), Enable monitoring (disabled)"
My Estimate,Asia Pacific (Hong Kong),ALBs,Application Load Balancer,0,554.3599999999999,6652.32,USD,Number of Application Load Balancers (2)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
